year,muni_code,muni,financial_strength_index_2016,rev_to_exp_ratio_2016,exp_public_works_thous_2016
2016,04202,Miyagi-ken Ishinomaki-shi,0.51,32.00,"77,779,780.00"
2016,04203,Miyagi-ken Shiogama-shi,0.51,6.90,"15,062,617.00"
2016,04205,Miyagi-ken Kesennuma-shi,0.41,32.10,"81,443,347.00"
2016,04206,Miyagi-ken Shiroishi-shi,0.47,3.90,"1,909,556.00"
2016,04207,Miyagi-ken Natori-shi,0.80,9.70,"23,336,118.00"
2016,04208,Miyagi-ken Kakuda-shi,0.50,4.70,"1,671,768.00"
2016,04209,Miyagi-ken Tagajo-shi,0.68,0.90,"7,357,042.00"
2016,04211,Miyagi-ken Iwanuma-shi,0.82,26.50,"6,626,496.00"
2016,04212,Miyagi-ken Tome-shi,0.36,5.20,"4,986,128.00"
2016,04213,Miyagi-ken Kurihara-shi,0.32,3.60,"4,426,204.00"
2016,04214,Miyagi-ken Higashimatsushima-shi,0.41,19.80,"18,094,828.00"
2016,04215,Miyagi-ken Osaki-shi,0.51,4.40,"7,693,048.00"
2016,04216,Miyagi-ken Tomiya-shi,0.80,6.90,"1,097,640.00"
2016,04301,Miyagi-ken Zao-machi,0.47,3.30,"439,221.00"
2016,04302,Miyagi-ken Shichikashuku-machi,0.31,3.40,"332,831.00"
2016,04321,Miyagi-ken Ogawara-machi,0.61,6.20,"574,592.00"
2016,04322,Miyagi-ken Murata-machi,0.43,4.60,"490,022.00"
2016,04323,Miyagi-ken Shibata-machi,0.62,1.30,"1,675,706.00"
2016,04324,Miyagi-ken Kawasaki-machi,0.31,1.80,"683,922.00"
2016,04341,Miyagi-ken Marumori-machi,0.29,8.20,"775,616.00"
2016,04361,Miyagi-ken Watari-cho,0.55,29.60,"5,427,743.00"
2016,04362,Miyagi-ken Yamamoto-cho,0.35,64.30,"14,636,421.00"
2016,04401,Miyagi-ken Matsushima-machi,0.45,80.00,"3,991,268.00"
2016,04404,Miyagi-ken Shichigahama-machi,0.59,14.10,"3,099,644.00"
2016,04406,Miyagi-ken Rifu-cho,0.84,6.20,"1,902,876.00"
2016,04421,Miyagi-ken Taiwa-cho,0.78,7.00,"964,270.00"
2016,04422,Miyagi-ken Osato-cho,0.42,8.30,"743,426.00"
2016,04424,Miyagi-ken Ohira-mura,0.69,9.50,"835,521.00"
2016,04444,Miyagi-ken Shikama-cho,0.29,5.00,"590,228.00"
2016,04445,Miyagi-ken Kami-machi,0.33,10.20,"1,363,320.00"
2016,04501,Miyagi-ken Wakuya-cho,0.36,5.70,"415,840.00"
2016,04505,Miyagi-ken Misato-machi,0.42,2.30,"602,001.00"
2016,04581,Miyagi-ken Onagawa-cho,0.99,52.70,"27,045,440.00"
2016,04606,Miyagi-ken Minamisanriku-cho,0.29,41.10,"23,494,649.00"
2016,05201,Akita-ken Akita-shi,0.66,2.30,"18,188,222.00"
2016,05202,Akita-ken Noshiro-shi,0.44,4.20,"2,994,078.00"
2016,05203,Akita-ken Yokote-shi,0.33,4.90,"5,541,961.00"
2016,05204,Akita-ken Odate-shi,0.42,5.50,"3,341,396.00"
2016,05206,Akita-ken Oga-shi,0.36,2.60,"1,777,074.00"
2016,05207,Akita-ken Yuzawa-shi,0.29,4.00,"3,139,272.00"
2016,05209,Akita-ken Kazuno-shi,0.32,2.90,"1,591,548.00"
2016,05210,Akita-ken Yurihonjo-shi,0.33,10.70,"5,559,888.00"
2016,05211,Akita-ken Katagami-shi,0.34,6.80,"1,472,162.00"
2016,05212,Akita-ken Daisen-shi,0.34,3.70,"4,452,839.00"
2016,05213,Akita-ken Kitaakita-shi,0.26,4.10,"2,452,183.00"
2016,05214,Akita-ken Nikaho-shi,0.38,2.40,"1,193,909.00"
2016,05215,Akita-ken Semboku-shi,0.25,2.20,"1,618,454.00"
2016,05303,Akita-ken Kosaka-machi,0.30,3.90,"735,435.00"
2016,05327,Akita-ken Kamikoani-mura,0.11,6.60,"217,765.00"
2016,05346,Akita-ken Fujisato-machi,0.12,5.60,"388,918.00"
2016,05348,Akita-ken Mitane-cho,0.25,3.80,"974,964.00"
2016,05349,Akita-ken Happou-cho,0.16,9.00,"609,552.00"
2016,05361,Akita-ken Gojome-machi,0.25,5.40,"522,551.00"
2016,05363,Akita-ken Hachirogata-machi,0.26,10.00,"321,385.00"
2016,05366,Akita-ken Ikawa-machi,0.23,9.00,"348,220.00"
2016,05368,Akita-ken Ogata-mura,0.35,7.00,"142,144.00"
2016,05434,Akita-ken Misato-cho,0.26,6.00,"1,194,084.00"
2016,05463,Akita-ken Ugo-machi,0.24,6.70,"690,691.00"
2016,05464,Akita-ken Higashinaruse-mura,0.10,5.40,"232,627.00"
2016,06201,Yamagata-ken Yamagata-shi,0.75,3.20,"9,736,911.00"
2016,06202,Yamagata-ken Yonezawa-shi,0.55,7.10,"3,528,877.00"
2016,06203,Yamagata-ken Tsuruoka-shi,0.42,10.30,"6,061,497.00"
2016,06204,Yamagata-ken Sakata-shi,0.47,4.90,"4,679,972.00"
2016,06205,Yamagata-ken Shinjo-shi,0.50,4.80,"1,429,360.00"
2016,06206,Yamagata-ken Sagae-shi,0.53,7.50,"1,903,565.00"
2016,06207,Yamagata-ken Kaminoyama-shi,0.47,5.30,"1,104,450.00"
2016,06208,Yamagata-ken Murayama-shi,0.36,10.60,"1,537,787.00"
2016,06209,Yamagata-ken Nagai-shi,0.44,5.40,"2,778,465.00"
2016,06210,Yamagata-ken Tendo-shi,0.66,12.80,"4,012,038.00"
2016,06211,Yamagata-ken Higashine-shi,0.59,5.00,"2,258,110.00"
2016,06212,Yamagata-ken Obanazawa-shi,0.27,11.20,"1,407,803.00"
2016,06213,Yamagata-ken Nanyo-shi,0.45,9.00,"1,571,163.00"
2016,06301,Yamagata-ken Yamanobe-machi,0.37,5.10,"780,797.00"
2016,06302,Yamagata-ken Nakayama-machi,0.36,7.40,"985,378.00"
2016,06321,Yamagata-ken Kahoku-cho,0.43,4.10,"838,683.00"
2016,06322,Yamagata-ken Nishikawa-machi,0.23,8.40,"798,794.00"
2016,06323,Yamagata-ken Asahi-machi,0.20,12.60,"504,452.00"
2016,06324,Yamagata-ken Oe-machi,0.27,5.90,"604,624.00"
2016,06341,Yamagata-ken Oishida-machi,0.23,7.70,"576,838.00"
2016,06361,Yamagata-ken Kaneyama-machi,0.20,11.60,"539,772.00"
2016,06362,Yamagata-ken Mogami-machi,0.23,7.50,"585,790.00"
2016,06363,Yamagata-ken Funagata-machi,0.21,9.90,"543,167.00"
2016,06364,Yamagata-ken Mamurogawa-machi,0.20,5.20,"1,018,953.00"
2016,06365,Yamagata-ken Okura-mura,0.15,2.80,"563,748.00"
2016,06366,Yamagata-ken Sakegawa-mura,0.17,12.50,"472,117.00"
2016,06367,Yamagata-ken Tozawa-mura,0.16,12.40,"461,312.00"
2016,06381,Yamagata-ken Takahata-machi,0.37,5.00,"989,531.00"
2016,06382,Yamagata-ken Kawanishi-machi,0.24,3.50,"976,682.00"
2016,06401,Yamagata-ken Oguni-machi,0.25,9.20,"1,008,158.00"
2016,06402,Yamagata-ken Shirataka-machi,0.28,10.80,"838,226.00"
