muni_code,muni,muni_en
10201,前橋市,Gumma-ken Maebashi-shi
10202,高崎市,Gumma-ken Takasaki-shi
10203,桐生市,Gumma-ken Kiryu-shi
10204,伊勢崎市,Gumma-ken Isesaki-shi
10205,太田市,Gumma-ken Ota-shi
10206,沼田市,Gumma-ken Numata-shi
10207,館林市,Gumma-ken Tatebayashi-shi
10208,渋川市,Gumma-ken Shibukawa-shi
10209,藤岡市,Gumma-ken Fujioka-shi
10210,富岡市,Gumma-ken Tomioka-shi
10211,安中市,Gumma-ken Annaka-shi
10212,みどり市,Gumma-ken Midori-shi
10344,榛東村,Gumma-ken Shinto-mura
10345,吉岡町,Gumma-ken Yoshioka-machi
10366,上野村,Gumma-ken Ueno-mura
10367,神流町,Gumma-ken Kanna-machi
10382,下仁田町,Gumma-ken Shimonita-machi
10383,南牧村,Gumma-ken Nammoku-mura
10384,甘楽町,Gumma-ken Kanra-machi
10421,中之条町,Gumma-ken Nakanojo-machi
10424,長野原町,Gumma-ken Naganohara-machi
10425,嬬恋村,Gumma-ken Tsumagoi-mura
10426,草津町,Gumma-ken Kusatsu-machi
10428,高山村,Gumma-ken Takayama-mura
10429,東吾妻町,Gumma-ken Higashiagatsuma-machi
10443,片品村,Gumma-ken Katashina-mura
10444,川場村,Gumma-ken Kawaba-mura
10448,昭和村,Gumma-ken Showa-mura
10449,みなかみ町,Gumma-ken Minakami-machi
10464,玉村町,Gumma-ken Tamamura-machi
10521,板倉町,Gumma-ken Itakura-machi
10522,明和町,Gumma-ken Meiwa-machi
10523,千代田町,Gumma-ken Chiyoda-machi
10524,大泉町,Gumma-ken Oizumi-machi
10525,邑楽町,Gumma-ken Ora-machi
11100,さいたま市,Saitama-ken Saitama-shi
11201,川越市,Saitama-ken Kawagoe-shi
11202,熊谷市,Saitama-ken Kumagaya-shi
11203,川口市,Saitama-ken Kawaguchi-shi
11206,行田市,Saitama-ken Gyoda-shi
11207,秩父市,Saitama-ken Chichibu-shi
11208,所沢市,Saitama-ken Tokorozawa-shi
11209,飯能市,Saitama-ken Hanno-shi
11210,加須市,Saitama-ken Kazo-shi
11211,本庄市,Saitama-ken Honjo-shi
11212,東松山市,Saitama-ken Higashimatsuyama-shi
11214,春日部市,Saitama-ken Kasukabe-shi
11215,狭山市,Saitama-ken Sayama-shi
11216,羽生市,Saitama-ken Hanyu-shi
11217,鴻巣市,Saitama-ken Konosu-shi
11218,深谷市,Saitama-ken Fukaya-shi
11219,上尾市,Saitama-ken Ageo-shi
11221,草加市,Saitama-ken Soka-shi
11222,越谷市,Saitama-ken Koshigaya-shi
11223,蕨市,Saitama-ken Warabi-shi
11224,戸田市,Saitama-ken Toda-shi
11225,入間市,Saitama-ken Iruma-shi
11227,朝霞市,Saitama-ken Asaka-shi
11228,志木市,Saitama-ken Shiki-shi
11229,和光市,Saitama-ken Wako-shi
11230,新座市,Saitama-ken Niiza-shi
11231,桶川市,Saitama-ken Okegawa-shi
11232,久喜市,Saitama-ken Kuki-shi
11233,北本市,Saitama-ken Kitamoto-shi
11234,八潮市,Saitama-ken Yashio-shi
11235,富士見市,Saitama-ken Fujimi-shi
11237,三郷市,Saitama-ken Misato-shi
11238,蓮田市,Saitama-ken Hasuda-shi
11239,坂戸市,Saitama-ken Sakado-shi
11240,幸手市,Saitama-ken Satte-shi
11241,鶴ヶ島市,Saitama-ken Tsurugashima-shi
11242,日高市,Saitama-ken Hidaka-shi
11243,吉川市,Saitama-ken Yoshikawa-shi
11245,ふじみ野市,Saitama-ken Fujimino-shi
11246,白岡市,Saitama-ken Shiraoka-shi
11301,伊奈町,Saitama-ken Ina-machi
11324,三芳町,Saitama-ken Miyoshi-machi
11326,毛呂山町,Saitama-ken Moroyama-machi
11327,越生町,Saitama-ken Ogose-machi
11341,滑川町,Saitama-ken Namegawa-machi
11342,嵐山町,Saitama-ken Ranzan-machi
11343,小川町,Saitama-ken Ogawa-machi
11346,川島町,Saitama-ken Kawajima-machi
11347,吉見町,Saitama-ken Yoshimi-machi
11348,鳩山町,Saitama-ken Hatoyama-machi
11349,ときがわ町,Saitama-ken Tokigawa-machi
11361,横瀬町,Saitama-ken Yokoze-machi
11362,皆野町,Saitama-ken Minano-machi
11363,長瀞町,Saitama-ken Nagatoro-machi
11365,小鹿野町,Saitama-ken Ogano-machi
11369,東秩父村,Saitama-ken Higashichichibu-mura
11381,美里町,Saitama-ken Misato-machi
11383,神川町,Saitama-ken Kamikawa-machi
11385,上里町,Saitama-ken Kamisato-machi
11408,寄居町,Saitama-ken Yorii-machi
11442,宮代町,Saitama-ken Miyashiro-machi
11464,杉戸町,Saitama-ken Sugito-machi
11465,松伏町,Saitama-ken Matsubushi-machi
12100,千葉市,Chiba-ken Chiba-shi
12202,銚子市,Chiba-ken Choshi-shi
